
--- Minimize function Ackley-10dim

TTOpt        | t=   3.1 | ey=7.9e-03 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   3.1 | ey=8.4e-03 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   3.1 | ey=8.7e-03 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   3.1 | ey=7.9e-03 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   3.5 | ey=8.2e-03 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   3.0 | ey=8.4e-03 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   3.0 | ey=8.1e-03 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   3.0 | ey=8.1e-03 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   3.0 | ey=8.1e-03 | evals=1.0e+05 | p=2, q=10, r=  4
TTOpt        | t=   2.0 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   1.9 | ey=8.1e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   2.0 | ey=8.1e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   2.0 | ey=8.4e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   2.0 | ey=8.1e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   2.4 | ey=8.4e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   3.2 | ey=7.9e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   2.4 | ey=8.4e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   1.9 | ey=7.9e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   1.9 | ey=8.2e-03 | evals=1.0e+05 | p=4, q= 5, r=  4
TTOpt        | t=   1.1 | ey=8.6e+00 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.8 | ey=1.5e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.6 | ey=1.8e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.6 | ey=8.4e+00 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.6 | ey=1.7e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   1.0 | ey=1.7e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.6 | ey=1.7e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.6 | ey=1.7e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.8 | ey=1.3e+01 | evals=1.0e+05 | n= 4096, r=  4
TTOpt        | t=   0.6 | ey=2.1e+01 | evals=1.0e+05 | n= 4096, r=  4
