
--- Minimize function Ackley-10dim

TTOpt        | t= 205.5 | ey=2.3e-12 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 217.3 | ey=1.6e-14 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 408.6 | ey=2.3e-12 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 436.1 | ey=8.7e-14 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 431.5 | ey=2.4e-12 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 446.7 | ey=2.3e-12 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 432.7 | ey=1.6e-14 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 434.5 | ey=2.5e-12 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 419.6 | ey=2.3e-12 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 432.5 | ey=1.2e-12 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 424.8 | ey=2.3e-12 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 446.2 | ey=1.6e-14 | evals=1.0e+07 | p=2, q=25, r=  4



--- Minimize function Exponential-10dim

TTOpt        | t=   0.5 | ey=4.4e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=4.4e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=8.0e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=4.4e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=4.4e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.5 | ey=4.4e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.9 | ey=4.4e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.7 | ey=8.0e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=4.4e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   0.8 | ey=4.4e-15 | evals=1.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   4.4 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   1.9 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.2 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   2.0 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   3.0 | ey=4.4e-15 | evals=5.0e+04 | p=2, q=25, r=  4
TTOpt        | t=   5.5 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   4.7 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.7 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.7 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.8 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.8 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.8 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.8 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   4.2 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   3.7 | ey=4.4e-15 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.2 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  21.5 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.7 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  24.3 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  23.1 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  23.4 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.5 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  20.4 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  19.4 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  19.8 | ey=4.4e-15 | evals=5.0e+05 | p=2, q=25, r=  4
TTOpt        | t=  47.7 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  44.1 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  41.7 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  43.4 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  40.6 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  46.6 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  39.3 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  39.8 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  43.3 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t=  45.9 | ey=4.4e-15 | evals=1.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 209.7 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 204.1 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 214.4 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 207.4 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 212.1 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 217.7 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 206.0 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 206.6 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 200.7 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 213.2 | ey=4.4e-15 | evals=5.0e+06 | p=2, q=25, r=  4
TTOpt        | t= 416.2 | ey=4.4e-15 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 407.2 | ey=4.4e-15 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 405.2 | ey=4.4e-15 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 412.2 | ey=4.4e-15 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 402.9 | ey=4.4e-15 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 414.1 | ey=4.4e-15 | evals=1.0e+07 | p=2, q=25, r=  4
TTOpt        | t= 404.0 | ey=4.4e-15 | evals=1.0e+07 | p=2, q=25, r=  4
