
--- Minimize function Ackley-10dim

PSO          | t=  43.2 | ey=1.0e-01 | evals=1.0e+05
PSO          | t=  42.9 | ey=8.1e-02 | evals=1.0e+05
PSO          | t=  44.0 | ey=3.1e-02 | evals=1.0e+05
PSO          | t=  43.2 | ey=2.1e-01 | evals=1.0e+05
PSO          | t=  43.3 | ey=2.1e-01 | evals=1.0e+05
PSO          | t=  44.1 | ey=4.6e-02 | evals=1.0e+05
PSO          | t=  42.9 | ey=1.5e-01 | evals=1.0e+05
PSO          | t=  44.4 | ey=1.6e-03 | evals=1.0e+05
PSO          | t=  43.0 | ey=2.4e-02 | evals=1.0e+05



--- Minimize function Grienwank-10dim

TTOpt        | t=   2.4 | ey=2.5e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=3.4e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=3.9e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=4.7e-10 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.5 | ey=7.4e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.2e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=3.4e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.0e-02 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=4.7e-10 | evals=1.0e+05 | p=2, q=25, r=  4
TTOpt        | t=   2.4 | ey=2.7e-02 | evals=1.0e+05 | p=2, q=25, r=  4
GA           | t=   5.7 | ey=3.0e-04 | evals=1.0e+05
GA           | t=   5.7 | ey=4.7e-04 | evals=1.0e+05
GA           | t=   5.8 | ey=5.8e-04 | evals=1.0e+05
GA           | t=   5.8 | ey=5.5e-04 | evals=1.0e+05
GA           | t=   5.8 | ey=2.9e-04 | evals=1.0e+05
GA           | t=   6.2 | ey=4.3e-04 | evals=1.0e+05
GA           | t=   5.7 | ey=3.4e-04 | evals=1.0e+05
GA           | t=   6.0 | ey=2.8e-04 | evals=1.0e+05
GA           | t=   6.0 | ey=2.6e-04 | evals=1.0e+05
GA           | t=   5.9 | ey=3.8e-04 | evals=1.0e+05
ES-OpenAI    | t=   2.3 | ey=1.2e-03 | evals=1.0e+05
ES-OpenAI    | t=   2.5 | ey=1.2e-03 | evals=1.0e+05
ES-OpenAI    | t=   2.6 | ey=1.1e-03 | evals=1.0e+05
ES-OpenAI    | t=   2.6 | ey=1.0e-03 | evals=1.0e+05
ES-OpenAI    | t=   2.4 | ey=1.3e-03 | evals=1.0e+05
ES-OpenAI    | t=   2.5 | ey=1.1e-03 | evals=1.0e+05
ES-OpenAI    | t=   2.4 | ey=8.9e-04 | evals=1.0e+05
ES-OpenAI    | t=   2.3 | ey=1.4e-03 | evals=1.0e+05
ES-OpenAI    | t=   2.2 | ey=9.6e-04 | evals=1.0e+05
ES-OpenAI    | t=   2.3 | ey=1.3e-03 | evals=1.0e+05
ES-CMA       | t=  13.5 | ey=1.5e+290 | evals=1.0e+05
ES-CMA       | t=  12.5 | ey=3.2e+287 | evals=1.0e+05
ES-CMA       | t=  12.1 | ey=1.7e+287 | evals=1.0e+05
ES-CMA       | t=  13.1 | ey=1.8e+290 | evals=1.0e+05
ES-CMA       | t=  12.5 | ey=1.2e+290 | evals=1.0e+05
ES-CMA       | t=  12.8 | ey=1.3e+287 | evals=1.0e+05
ES-CMA       | t=  13.1 | ey=1.5e+290 | evals=1.0e+05
ES-CMA       | t=  13.1 | ey=1.8e+287 | evals=1.0e+05
ES-CMA       | t=  13.2 | ey=1.6e+290 | evals=1.0e+05
ES-CMA       | t=  12.6 | ey=1.5e+287 | evals=1.0e+05
DE           | t=  41.8 | ey=2.8e-01 | evals=1.0e+05
DE           | t=  42.6 | ey=1.2e-01 | evals=1.0e+05
DE           | t=  41.0 | ey=2.1e-01 | evals=1.0e+05
